"x","y","z","ID","nodeid","treeid","radius","radius_obs","length","volume","n","tumor_half","cen_dist","parent","generation","gen_diff","hs_nodeid","hs_parent","hs_length","beta.ave","gamma.ave","beta.diff","gamma.diff","asymmetry"
-52.3891327749511,25.0683498708415,87.6687242798354,206,205.001,1,1.59932,1.68214,4.57086,36.7298,4,1,4.9854271628736,NA,6,NA,1.001,NA,72.84863,0.900891359219825,3.44535678830937,NA,NA,NA
-53.2110500821918,24.2464325636008,86.4135802469136,206,205.001,1,1.59932,1.68214,4.57086,36.7298,4,1,5.18446349265176,NA,6,NA,1.001,NA,72.84863,0.900891359219825,3.44535678830937,NA,NA,NA
-54.0329673894325,23.4245152563601,85.1584362139918,206,205.001,1,1.59932,1.68214,4.57086,36.7298,4,1,5.89540539263292,NA,6,NA,1.001,NA,72.84863,0.900891359219825,3.44535678830937,NA,NA,NA
-54.0329673894325,23.4245152563601,85.1584362139918,206,205.001,1,1.59932,1.68214,4.57086,36.7298,4,1,5.89540539263292,NA,6,NA,1.001,NA,72.84863,0.900891359219825,3.44535678830937,NA,NA,NA
-54.8548846966732,22.6025979491194,85.1584362139918,206,205.001,1,1.59932,1.68214,4.57086,36.7298,4,1,5.96534626925097,NA,6,NA,1.001,NA,72.84863,0.900891359219825,3.44535678830937,NA,NA,NA
-44.169959702544,21.7806806418787,92.6893004115226,166,165.001,1,1.99968,2.49703,10.8471,136.265,2,1,13.7024208785746,205.001,6,NA,1.001,NA,72.84863,0.763634947549055,4.3668307462118,-0.00900644103056488,2.28674438329139,FALSE
-44.9918770097847,20.958763334638,92.6893004115226,166,165.001,1,1.99968,2.49703,10.8471,136.265,2,1,13.2315882683577,205.001,6,NA,1.001,NA,72.84863,0.763634947549055,4.3668307462118,-0.00900644103056488,2.28674438329139,FALSE
-45.8137943170254,20.958763334638,92.6893004115226,166,165.001,1,1.99968,2.49703,10.8471,136.265,2,1,12.4989663768528,205.001,6,NA,1.001,NA,72.84863,0.763634947549055,4.3668307462118,-0.00900644103056488,2.28674438329139,FALSE
-46.6357116242662,20.958763334638,92.6893004115226,166,165.001,1,1.99968,2.49703,10.8471,136.265,2,1,11.7781360577951,205.001,6,NA,1.001,NA,72.84863,0.763634947549055,4.3668307462118,-0.00900644103056488,2.28674438329139,FALSE
-47.4576289315069,21.7806806418787,92.6893004115226,166,165.001,1,1.99968,2.49703,10.8471,136.265,2,1,10.7263908058013,205.001,6,NA,1.001,NA,72.84863,0.763634947549055,4.3668307462118,-0.00900644103056488,2.28674438329139,FALSE
